quality,id,know_llm,used_llm,not_used_for_what,not_used_not_needed,not_used_data_security,not_used_not_trust,use_google_rather,not_used_registration,not_used_payment,not_used_knowledge,not_used_environment,not_used_bad_reports,not_used_other,gender,age,schooling,employment_role_ceo,employment_role_management,employment_role_expert,employment_role_project_manager,employment_role_ingenieur,employment_role_sale,employment_role_marketing,employment_role_administration,employment_role_research,employment_role_production,employment_role_software,employment_role_consulting,employment_role_education,employment_role_self_employed,employment_role_freelancing,employment_role_student,employment_role_searching_for_employment,employment_role_other,sector_software,sector_telecommunication,sector_finance,sector_consulting,sector_production,sector_engineering,sector_construction,sector_commerce,sector_marketing,sector_health,sector_education,sector_public_sector,sector_environment,sector_transportation,sector_tourism,sector_agriculture,sector_design,sector_non_profit,sector_other,llm_used_chatGpt,llm_used_gemini,llm_used_grok,llm_used_copilot,llm_used_bard,llm_used_gemma,llm_used_llama,llm_used_palm,llm_used_claud,llm_used_nemotron,llm_used_mistral,llm_used_deepSeek,llm_used_qwen,llm_used_nova,llm_used_ernie,llm_used_command,llm_used_falcon,llm_used_granite,llm_used_other,knowledge_assessment_llms,typeOfAI_gpt,typeOfAI_alexa,typeOfAI_stock_market,typeOfAI_chessComputer,typeOfAI_googleMaps,typeOfAI_netflix_recommendations,typeOfAI_selfDrivingCars,typeOfAI_face_recognition,typeOfAI_clock,typeOfAI_gps_device,typeOfAI_alarm_clock,llm_trust_that_factual,llm_trust_that_reliable,llm_trust_that_competent,llm_trust_that_tried_to_answer_correct,llm_trust_that_on_answer,xai_knows_activation,xai_knows_influence_of_components,xai_knows_influence_of_query,xai_knows_cooperation,xai_knows_concept_influences,xai_knows_feature_attribution,xai_knows_regularization,xai_knows_inference,xai_knows_others,xai_knows_none,cot_trust_that_factual,cot_trust_that_reliable,cot_trust_that_competent,cot_trust_that_tried_to_answer_correct,cot_trust_that_on_answer,shap_trust_that_factual,shap_trust_that_reliable,shap_trust_that_competent,shap_trust_that_tried_to_answer_correct,shap_trust_that_on_answer,conf_trust_that_factual,conf_trust_that_reliable,conf_trust_that_competent,conf_trust_that_tried_to_answer_correct,conf_trust_that_on_answer,useful_order_number_shap,useful_order_number_cot,useful_order_number_conf,seen_video_full,explanation_trust_that_factual,explanation_trust_that_reliable,explanation_trust_that_competent,explanation_trust_that_tried_to_answer_correct,explanation_trust_that_on_answer,trust_changed,trust_changed_how,quota
0,336192828019815,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,65 Jahre oder älter,Bachelor-Abschluss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruhestand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruhestand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,1,0,1,0,0,1,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,0,0,0,0,0,0,0,NULL,1,Weder noch,Weder noch,Weder noch,Stimme zu,Weder noch,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Weder noch,Weder noch,Stimme zu,Stimme zu,Weder noch,1,3,2,1,Stimme zu,Stimme zu,Stimme voll zu,Stimme zu,Stimme zu,0,NULL,54
1,336202496171131,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Abitur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,1,0,0,1,0,1,1,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,1,1,0,0,0,0,0,NULL,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,1,2,3,NULL,Weder noch,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,NULL,14
0,336202496154743,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Hauptschulabschluss,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,0,1,1,0,1,1,0,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,0,0,0,0,0,1,0,NULL,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Weder noch,Weder noch,Stimme zu,Stimme zu,Weder noch,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,3,2,1,1,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,0,NULL,14
1,336202496111724,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,55-64 Jahre,Bachelor-Abschluss,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NULL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,0,0,0,0,0,0,0,0,0,0,Stimme nicht zu,Stimme nicht zu,Weder noch,Stimme nicht zu,Stimme nicht zu,0,0,0,0,0,0,0,0,NULL,1,Stimme überhaupt nicht zu,Stimme überhaupt nicht zu,Stimme überhaupt nicht zu,Stimme nicht zu,Stimme überhaupt nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Weder noch,Stimme nicht zu,Weder noch,Weder noch,2,3,1,NULL,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Weder noch,Stimme nicht zu,0,NULL,50
1,336202496257177,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Fachhochschulreife,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,0,1,0,1,1,1,1,1,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,Stimme zu,0,0,0,1,0,0,1,1,NULL,0,Stimme zu,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Stimme zu,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme zu,0,NULL,14
1,336192828140677,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Bachelor-Abschluss,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NULL,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,1,0,1,1,0,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,0,1,0,0,0,0,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,3,1,2,NULL,Stimme zu,Weder noch,Stimme zu,Stimme zu,Weder noch,Unsicher,NULL,14
1,336202495745244,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,55-64 Jahre,Master-Abschluss,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkehr,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,0,1,1,0,1,1,1,0,0,0,Weder noch,Stimme zu,Stimme voll zu,Stimme zu,Stimme voll zu,0,0,0,0,0,0,0,0,NULL,1,Weder noch,Weder noch,Stimme voll zu,Stimme zu,Weder noch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Stimme nicht zu,Weder noch,Stimme zu,Stimme zu,Weder noch,Unsicher,NULL,51
1,336202496191619,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,45-54 Jahre,Realschulabschluss,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,Stimme voll zu,0,0,1,0,1,0,0,1,NULL,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,1,3,2,1,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,1,Ich vertraue es,46
0,336202496222350,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,25-34 Jahre,Bachelor-Abschluss,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,0,0,1,0,0,0,1,1,0,0,0,Weder noch,Stimme zu,Stimme zu,Weder noch,Stimme voll zu,1,0,1,0,0,0,0,0,NULL,0,Weder noch,Stimme zu,Stimme voll zu,Weder noch,Weder noch,Weder noch,Stimme zu,Stimme zu,Stimme nicht zu,Stimme voll zu,Stimme voll zu,Weder noch,Stimme zu,Weder noch,Stimme zu,2,1,3,NULL,Stimme zu,Weder noch,Stimme zu,Weder noch,Stimme zu,Unsicher,NULL,38
1,336202495790315,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,35-44 Jahre,Bachelor-Abschluss,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,3,0,0,0,0,0,1,0,0,0,0,0,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,0,0,0,0,1,0,0,0,NULL,0,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,2,1,3,NULL,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,0,NULL,18
1,336192828061809,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,55-64 Jahre,Abitur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,0,0,0,0,0,0,0,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,Stimme zu,1,0,0,0,0,0,0,0,NULL,0,Weder noch,Weder noch,Stimme zu,Stimme zu,Weder noch,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,Stimme zu,Weder noch,Weder noch,Weder noch,Stimme zu,Weder noch,3,1,2,1,Stimme zu,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme zu,0,NULL,26
0,336202496209034,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Master-Abschluss,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,0,1,0,0,0,0,0,1,0,0,0,Stimme voll zu,Stimme voll zu,Stimme zu,Stimme voll zu,Stimme voll zu,0,1,0,0,0,1,1,0,NULL,0,Stimme voll zu,Stimme voll zu,Stimme zu,Stimme zu,Stimme zu,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Stimme voll zu,Weder noch,Stimme voll zu,Stimme zu,Stimme zu,1,2,3,0,Stimme zu,Stimme zu,Stimme voll zu,Stimme zu,Stimme voll zu,Unsicher,NULL,14
1,336202495868939,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,25-34 Jahre,Master-Abschluss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,1,1,1,1,0,1,0,1,0,0,0,Stimme zu,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme zu,0,1,0,0,0,0,0,0,NULL,0,Stimme überhaupt nicht zu,Stimme überhaupt nicht zu,Stimme überhaupt nicht zu,Weder noch,Stimme überhaupt nicht zu,Weder noch,Weder noch,Weder noch,Stimme zu,Weder noch,Weder noch,Weder noch,Weder noch,Stimme zu,Weder noch,3,2,1,NULL,Weder noch,Weder noch,Stimme zu,Weder noch,Weder noch,0,NULL,14
1,336202495825143,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,65 Jahre oder älter,Realschulabschluss,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,0,0,0,0,1,0,0,0,0,1,1,Stimme nicht zu,Weder noch,Weder noch,Stimme zu,Stimme nicht zu,0,0,0,0,0,0,0,0,NULL,1,Weder noch,Weder noch,Weder noch,Stimme zu,Stimme nicht zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Unsicher,NULL,55
0,336202496162937,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,55-64 Jahre,Realschulabschluss,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,1,0,0,0,0,0,0,0,0,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,0,0,1,1,0,0,0,0,NULL,0,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Unsicher,NULL,27
0,336202496194692,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,45-54 Jahre,Realschulabschluss,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,0,0,0,0,0,0,0,0,0,0,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme zu,Stimme voll zu,0,0,1,0,0,0,0,1,NULL,0,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Stimme zu,Stimme voll zu,Stimme zu,Stimme voll zu,Stimme voll zu,0,NULL,47
0,336192828572915,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,25-34 Jahre,Abitur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,NULL,4,0,1,0,1,1,0,0,1,0,1,0,Stimme voll zu,Weder noch,Stimme voll zu,Stimme voll zu,Stimme zu,0,0,0,0,1,1,1,0,NULL,0,Stimme voll zu,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Stimme zu,Stimme zu,Stimme zu,Stimme voll zu,Weder noch,0,NULL,39
1,336192827976798,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,männlich,45-54 Jahre,Master-Abschluss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lehrer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,0,0,1,0,0,0,0,1,0,0,0,Stimme nicht zu,Weder noch,Stimme zu,Stimme zu,Stimme nicht zu,0,0,0,0,0,0,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Stimme nicht zu,Stimme nicht zu,Weder noch,Stimme zu,Stimme nicht zu,3,1,2,NULL,Stimme nicht zu,Weder noch,Weder noch,Stimme zu,Weder noch,0,NULL,48
1,336192828574964,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,weiblich,35-44 Jahre,Bachelor-Abschluss,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,1,0,0,0,0,0,0,0,0,0,0,Stimme voll zu,Stimme voll zu,Stimme zu,Stimme voll zu,Stimme voll zu,0,0,0,0,0,0,0,0,NULL,1,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Stimme zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,0,NULL,19
